,Mean,SEM
p05_uJdB_i0_t37,8416.603540240121,172.4875305361991
p05_uKdB_i0_t37,8467.520326888593,203.8586273166265
p05_uLdA_i0_t37,8635.975416215077,599.1111835709007
p05_uLdB_i0_t37,8482.528605413803,279.70740368036496
p05_uNdB_i0_t37,9570.522946074785,138.0190397087271
p05_uNdB_i1_t37,13480.595060228636,63.388099935190226
p06_uEdA_i0_t37,10088.555724762917,227.7180707651217
p06_uEdC_i0_t37,10161.471103541113,153.03139581991041
p06_uLdA_i0_t37,8974.848788953575,186.3917406338558
p07_uEdA_i0_t37,12866.398822048339,177.05239057717424
p07_uEdC_i0_t37,11078.677629237849,350.2466479203665
p07_uLdA_i0_t37,8060.688377797819,390.45326187970005
p07_uNdB_i0_t37,9209.417505333755,313.0423995487269
p07_uNdB_i1_t37,12588.341695901014,87.60968896874215
p08_uEdA_i0_t37,10911.810014939305,396.427754529673
p08_uEdC_i0_t37,10548.214449476262,516.6026494351923
p08_uLdA_i0_t37,9120.648979969548,214.84391273461483
p08_uNdB_i0_t37,9315.828523727776,44.143820576862325
p08_uNdB_i1_t37,12898.556658680536,223.96194264417582
p09_uEdA_i0_t37,13362.263413019378,117.3874242303911
p09_uEdC_i0_t37,11100.918339436486,259.28668120287495
p09_uLdA_i0_t37,7264.79641857076,609.2304400680117
p09_uNdB_i0_t37,9559.689544349334,159.89746582109134
p09_uNdB_i1_t37,12413.282676389228,201.5179403576774
p10_uEdA_i0_t37,13716.879567220145,182.56433773078192
p10_uEdC_i0_t37,11920.678857750268,277.4704080782342
p10_uLdA_i0_t37,7098.293871208861,1097.5607972129005
p10_uNdB_i0_t37,9731.402082397852,82.10546199573324
p10_uNdB_i1_t37,11605.640401599432,208.89459841621155
p11_uEdA_i0_t37,13446.598583466452,559.0882552997612
p11_uEdC_i0_t37,13034.72732780695,277.56381266115005
p11_uLdA_i0_t37,8597.658116778515,200.1929145659668
p11_uNdB_i0_t37,10359.797458033343,176.56506144352716
p11_uNdB_i1_t37,13470.181464487989,193.65394436562602
p12_uAdB_i0_t37,8891.621960580558,1022.4935125051106
p12_uBdB_i0_t37,12476.811057054887,201.73068725018507
p12_uCdB_i0_t37,12123.65324946527,186.38914524516778
p12_uDdB_i0_t37,11401.549816250055,357.9798322226747
p12_uEdA_i0_t37,11635.265252251658,285.70349326498604
p12_uEdB_i0_t37,10489.27902874892,152.3470394444624
p12_uEdC_i0_t37,10321.434774749012,214.3201460749614
p12_uFdB_i0_t37,9780.70736103671,144.47624900748764
p12_uGdB_i0_t37,9203.318588885493,107.94393550197422
p12_uHdB_i0_t37,8923.11735338756,149.6498260222823
p12_uIdB_i0_t37,8661.383419269243,123.35877695435572
p12_uJdB_i0_t37,8577.037852813552,217.76492600840845
p12_uKdB_i0_t37,8561.729680276027,188.31568195021137
p12_uLdA_i0_t37,8019.35948930268,192.09342109923048
p12_uLdB_i0_t37,8534.471243861535,145.87865390440243
p12_uNdB_i0_t37,9181.126517693107,344.6638890614431
p12_uNdB_i1_t37,12755.025775902217,534.0833368288928
p13_uEdA_i0_t37,10217.751564318773,341.7364068606584
p13_uEdC_i0_t37,10591.901542848582,95.98161842957347
