,Mean,SEM
p05_uKdB_i0_t37,0.5074375079889873,0.009948297836264459
p05_uLdA_i0_t37,0.5260072561931658,0.010957312865053444
p05_uLdB_i0_t37,0.5035776972298421,0.011894156650233646
p05_uNdB_i0_t37,0.7186883203558452,0.0019558560189292164
p05_uNdB_i1_t37,0.6788800308663214,0.0219520082304107
p06_uEdA_i0_t37,0.3634324669659015,0.007204715903406946
p06_uEdC_i0_t37,0.3675074977463335,0.006352666181501843
p06_uLdA_i0_t37,0.4272374803121421,0.005524938977773801
p07_uEdA_i0_t37,2.3304024011446516,0.018464930449700833
p07_uEdC_i0_t37,2.296036941526438,0.016106059542693812
p07_uLdA_i0_t37,2.8874650878265804,0.01667050544604515
p07_uNdB_i0_t37,3.849318156745513,0.009106367096633827
p07_uNdB_i1_t37,3.813692445934209,0.04487032671299004
p08_uEdA_i0_t37,2.7046654100220455,0.01785309269265132
p08_uEdC_i0_t37,2.794136008269437,0.03395408636478862
p08_uLdA_i0_t37,2.9491622192725493,0.004345050479251569
p08_uNdB_i0_t37,4.549256272404509,0.06277724162827619
p08_uNdB_i1_t37,4.513859600507721,0.015150665130121189
p09_uEdA_i0_t37,2.8204674258766933,0.029958968235085967
p09_uEdC_i0_t37,2.9874030475695097,0.02916518766938703
p09_uLdA_i0_t37,3.31672349850821,0.10492782888333453
p09_uNdB_i0_t37,4.750838397712193,0.048463104310830805
p09_uNdB_i1_t37,4.672574158885903,0.0739023789993881
p10_uEdA_i0_t37,3.4641776529272055,0.028726928663794504
p10_uEdC_i0_t37,3.50598660887341,0.04010993345203147
p10_uLdA_i0_t37,4.153748624337819,0.03527880049411065
p10_uNdB_i0_t37,5.6926540496521225,0.09575706935674837
p10_uNdB_i1_t37,5.841261206400185,0.11019173441845145
p11_uEdA_i0_t37,1.3862538178633734,0.00420839151711161
p11_uEdC_i0_t37,1.383640427399453,0.010596120123193997
p11_uLdA_i0_t37,1.8090303296910948,0.027245547829230655
p11_uNdB_i0_t37,2.2860086107839903,0.033876237221201456
p11_uNdB_i1_t37,2.239571422308686,0.041093761386760935
p12_uAdB_i0_t37,2.0200395311591275,0.030345457275943694
p12_uBdB_i0_t37,2.0951534397409244,0.018553532131966245
p12_uCdB_i0_t37,2.067484790083469,0.014070553237280702
p12_uDdB_i0_t37,2.0882972464116247,0.014723367283287004
p12_uEdA_i0_t37,2.1766143912218814,0.03196095748678367
p12_uEdB_i0_t37,2.09294917916321,0.0168569394388408
p12_uEdC_i0_t37,2.176189185324437,0.00473181854360855
p12_uFdB_i0_t37,2.163339598715772,0.016288765325193497
p12_uGdB_i0_t37,2.193312321931615,0.010104490553271313
p12_uHdB_i0_t37,2.273875190476744,0.016376500827384913
p12_uIdB_i0_t37,2.3154774722713753,0.01793979363949714
p12_uJdB_i0_t37,2.3202134854895555,0.011778706741990793
p12_uKdB_i0_t37,2.409736840131339,0.03135557480889428
p12_uLdA_i0_t37,2.5406509529352403,0.02937722268517544
p12_uLdB_i0_t37,2.419711576927422,0.02194664946595556
p12_uNdB_i0_t37,3.7534151692085835,0.0322383874136456
p12_uNdB_i1_t37,3.579640458373004,0.08312772904835772
p13_uEdA_i0_t37,0.08962247439191225,0.004940219476012868
p13_uEdC_i0_t37,0.09288882535350854,0.004185854157489956
p13_uLdA_i0_t37,0.09424349757284943,0.004595589418753361
p14_uEdA_i0_t37,0.06480380991490943,0.0067151188102781674
p14_uLdA_i0_t37,0.06329354703228413,0.009193181775987373
p15_uEdA_i0_t37,0.09210950742103338,0.008197493177759741
p15_uEdC_i0_t37,0.09698222654015771,0.003474259530330629
p15_uLdA_i0_t37,0.09437246606968652,0.006353154145269376
p16_uEdA_i0_t37,0.0794009336581608,0.005049096386427499
p16_uEdC_i0_t37,0.08083264369109597,0.0065318076087653165
p16_uLdA_i0_t37,0.09207052800755336,0.009778903311997739
p17_uEdA_i0_t37,0.14169807953868246,0.005960450883072766
p17_uEdC_i0_t37,0.15192712803530006,0.0037400158669660183
p17_uLdA_i0_t37,0.15905703947418304,0.012819031943897004
p18_uEdA_i0_t37,0.9909593036201478,0.007881446802117205
p18_uEdC_i0_t37,1.0618511013014629,0.009325611105890688
p18_uLdA_i0_t37,1.100895824504389,0.007095188647144685
p19_uEdA_i0_t37,0.8630465968009177,0.009098143667550644
p19_uEdC_i0_t37,0.8355768258081321,0.018420286382727684
p19_uLdA_i0_t37,1.0079695798257493,0.006179786651281921
p20_uEdA_i0_t37,0.29852036523984754,0.012451926295450116
p20_uEdC_i0_t37,0.2949228776928969,0.017345741845411034
p20_uLdA_i0_t37,0.3245908570122908,0.007494184676720139
p21_uEdA_i0_t37,1.5153933052083532,0.017343290991657212
p21_uLdA_i0_t37,1.7410043451175234,0.019760899077133815
