,Mean,SEM
p13_uLdA_i0_t37,885.6135069167261,43.06682580665895
p14_uEdA_i0_t37,631.4535236689403,54.90608505930548
p14_uLdA_i0_t37,612.877335700896,97.21460274021554
p15_uEdA_i0_t37,1179.500098289089,62.943320560831616
p15_uEdC_i0_t37,1151.1594209228467,40.634705140246716
p15_uLdA_i0_t37,1259.645024027727,204.6283507788812
p16_uEdA_i0_t37,863.1641663133267,62.76317906665485
p16_uEdC_i0_t37,915.7775290323221,65.61893896179059
p16_uLdA_i0_t37,867.9269797908794,111.11081173835116
p17_uEdA_i0_t37,1736.8189888277748,134.7805586936447
p17_uEdC_i0_t37,1793.5393327184063,65.16795714139603
p17_uLdA_i0_t37,1533.79979184988,120.98586973518691
p18_uEdA_i0_t37,11706.405998722907,270.3900089106837
p18_uEdC_i0_t37,11795.06004005575,105.81395940051839
p18_uLdA_i0_t37,10147.364557604997,262.6919691561058
p19_uEdA_i0_t37,10141.034774867958,140.04051038726263
p19_uEdC_i0_t37,7682.439749352857,234.11872370444988
p19_uLdA_i0_t37,11274.938090368823,201.0352522271024
p20_uEdA_i0_t37,3212.0664401368263,138.91889990453788
p20_uEdC_i0_t37,3323.3337331849084,189.9774112401824
p20_uLdA_i0_t37,3225.9675735388014,225.14168169603371
p21_uEdA_i0_t37,18601.345812688985,497.99146108278427
p21_uLdA_i0_t37,15327.14344534898,566.09255642105
p22_uEdA_i0_t37,2327.9796208167195,117.81160160499768
p22_uLdA_i0_t37,2020.1238464767375,51.051566989907144
p23_uEdA_i0_t37,14788.57153784944,206.24288023048925
p23_uLdA_i0_t37,14033.998316575859,262.1952130464882
p24_uEdA_i0_t37,12326.74117831685,117.12676922601646
p24_uLdA_i0_t37,10990.953596393303,249.9916056364151
p25_uEdA_i0_t37,14141.058948203403,430.01112789655224
p25_uLdA_i0_t37,11330.144745476626,380.51222954551565
p26_uEdA_i0_t37,36926.154620255315,557.1181139138491
p26_uLdA_i0_t37,28534.725763841474,526.0442182784811
p27_uEdA_i0_t37,31887.44537544104,525.5050949991353
p27_uLdA_i0_t37,22481.983281284134,3568.815752993868
p28_uEdA_i0_t37,25742.25492524556,555.429847160246
p28_uLdA_i0_t37,22330.69974718477,569.0392685304555
